Herkunftsort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Duisburg;20411;6,521732184;9353;6,65532896;11058;6,412851219;23,3
Köln;14824;4,736571354;6827;4,857899156;7997;4,637689564;34,2
Essen;13458;4,3001064;5560;3,956337968;7898;4,580276626;26,4
Krefeld;10583;3,381485067;4872;3,466776723;5711;3,311972627;20,2
Mönchengladbach;9886;3,158779304;4485;3,191398523;5401;3,13219474;28,9
Wuppertal;9282;2,965788944;4398;3,129491796;4884;2,832371618;25,1
Mülheim an der Ruhr;5796;1,851940608;2481;1,765409082;3315;1,922463537;20,4
Solingen;5611;1,792829322;2725;1,939032547;2886;1,673674138;19,6
Oberhausen;5027;1,606229371;2092;1,488607739;2935;1,702090643;31
Bochum;3687;1,17807195;1416;1,007585353;2271;1,317018007;38,9
Dortmund;3406;1,088286699;1286;0,915081048;2120;1,229448778;55,8
Leverkusen;3201;1,022785004;1476;1,050279648;1725;1,000376954;24,9
Ratingen;13170;4,208084507;6587;4,687121978;6583;3,817670427;9,9
Hilden;7744;2,474366471;4076;2,900365748;3668;2,127178357;11,5
Erkrath;6996;2,235365164;3580;2,547426246;3416;1,981036333;8,4
Langenfeld (Rheinland);5270;1,683872844;2553;1,816642236;2717;1,575666193;17,2
Monheim am Rhein;4651;1,486089677;2264;1,61099805;2387;1,384289732;16,5
Neuss;18760;5,994203899;9069;6,453242632;9691;5,620088729;10,3
Meerbusch;9537;3,047266662;5050;3,593436464;4487;2,602139937;11,1
Kaarst;5879;1,878460806;2955;2,10269401;2924;1,695711427;14
Grevenbroich;4424;1,413558531;2088;1,485761453;2336;1,35471337;21,7
Dormagen;3777;1,206828791;1969;1,401084435;1808;1,048511033;14,6
Willich;4357;1,39215066;2077;1,477934165;2280;1,322237365;20,6
Viersen;2482;0,793049791;1057;0,752131157;1425;0,826398353;31,5
Tönisvorst;1233;0,393968732;516;0,367170934;717;0,415808856;26,6
Kempen;1171;0,374158463;494;0,351516359;677;0,392611709;30,5
Nettetal;862;0,27542664;322;0,229126048;540;0,313161481;40,1
allen sonstigen Orten;97777;31,24175238;39447;28,069364;58330;33,82723925;x
